Configuration,Fitness
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7079338249294628
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7077022208374443
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7058568312821313
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7053509546312163
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7071855256097349
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7076935659760087
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7059588720984578
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7060587491994252
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7072513891052604
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7081017292413149
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7050745183569611
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7089860829828115
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7071131709681328
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7060312267400599
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7099746412559935
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7084461927264544
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7076233750497654
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7095578231292518
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7057251042910804
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.705654913364837
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7067114988489035
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7068070485191532
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7084802063318967
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7073809523809524
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7060247355939832
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7078679614339375
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7072152117844593
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7071153346834916
xo_prob=0.63_mut_prob=0.95_xo=pmx_mut=prime_sel=tournament_selection,0.7081060566720327
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.705861158712849
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7054465043014662
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7045281369545272
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7059631995291755
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7079975247096293
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7038500285610428
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7052149002094477
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7073577573523048
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7021174983988506
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7025234979487979
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.706367035363764
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7061969673365529
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7053892956673763
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7070111301518063
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7033781655155701
xo_prob=0.35_mut_prob=0.5_xo=pmx_mut=prime_sel=tournament_selection,0.7062309809419952
